emotion	topic	keyword	response
anger	time_management	anger_time_management_1	Entry 1: When experiencing anger connected to time_management, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
loneliness	future	loneliness_future_2	Entry 2: When experiencing loneliness connected to future, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
confusion	self_growth	confusion_self_growth_3	Entry 3: When experiencing confusion connected to self_growth, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
anxiety	finance	anxiety_finance_4	Entry 4: When experiencing anxiety connected to finance, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
self_doubt	academics	self_doubt_academics_5	Entry 5: When experiencing self_doubt connected to academics, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
confusion	career	confusion_career_6	Entry 6: When experiencing confusion connected to career, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
self_doubt	academics	self_doubt_academics_7	Entry 7: When experiencing self_doubt connected to academics, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
sadness	social_pressure	sadness_social_pressure_8	Entry 8: When experiencing sadness connected to social_pressure, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
sadness	social_pressure	sadness_social_pressure_9	Entry 9: When experiencing sadness connected to social_pressure, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
fatigue	academics	fatigue_academics_10	Entry 10: When experiencing fatigue connected to academics, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
self_doubt	finance	self_doubt_finance_11	Entry 11: When experiencing self_doubt connected to finance, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
numbness	self_growth	numbness_self_growth_12	Entry 12: When experiencing numbness connected to self_growth, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
stress	finance	stress_finance_13	Entry 13: When experiencing stress connected to finance, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
self_doubt	academics	self_doubt_academics_14	Entry 14: When experiencing self_doubt connected to academics, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
fatigue	health	fatigue_health_15	Entry 15: When experiencing fatigue connected to health, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
anxiety	self_growth	anxiety_self_growth_16	Entry 16: When experiencing anxiety connected to self_growth, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
self_doubt	future	self_doubt_future_17	Entry 17: When experiencing self_doubt connected to future, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
anger	academics	anger_academics_18	Entry 18: When experiencing anger connected to academics, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
stress	finance	stress_finance_19	Entry 19: When experiencing stress connected to finance, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
stress	future	stress_future_20	Entry 20: When experiencing stress connected to future, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
anger	future	anger_future_21	Entry 21: When experiencing anger connected to future, consider reflective breathing, structured planning, mindful awareness, constructive dialogue, and gradual progress evaluation to encourage stability and resilience.
